"arc_i","arc_j","capacity_1","capacity_2","capacity_3","capacity_4","capacity_5","capacity_6","capacity_7","capacity_8","capacity_9","capacity_10","capacity_11","capacity_12","capacity_13","capacity_14","capacity_15","capacity_16","capacity_17","capacity_18","capacity_19","capacity_20","capacity_21",
1,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,48,185455079,48130964,757602740,6543606,555,118658222,41231961,35634179,11403189,142773177,2487543,22485866,1414897,30072258,0,33191799,0,1287558,228900715,440816,947003425,
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,15,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
14,30,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
15,14,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
15,16,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
16,15,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
16,17,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
17,16,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
17,18,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
18,17,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
18,19,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
19,18,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
19,20,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
20,19,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
20,21,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
21,20,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
21,22,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
22,21,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
22,23,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
23,22,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
23,24,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
24,23,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
24,25,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
25,24,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
25,26,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
26,25,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
26,27,878748609,228060716,3589776879,31005812,2631,562242613,195370918,168846742,54032149,676507390,11786818,106545607,6704259,142492487,0,157273923,0,6100885,1084608664,2088736,4487221099,
27,26,878748609,228060716,3589776879,31005812,2631,562242613,195370918,168846742,54032149,676507390,11786818,106545607,6704259,142492487,0,157273923,0,6100885,1084608664,2088736,4487221099,
27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,14,1767842076,458806222,7221813546,62376633,5294,1131104094,393041793,339681192,108700379,1360978802,23712393,214345497,13487444,286662433,0,316399315,0,12273592,2181985625,4202061,9027266933,
30,32,1139439014,295717427,4654723530,40204026,3412,729038046,253329842,218936978,70061378,877200722,15283506,138153529,8693152,184764445,0,203930955,0,7910779,1406369711,2708382,5818404413,
31,32,719061629,186617319,2937439428,25371408,2153,460071385,159867941,138163762,44213379,553571865,9644907,87184044,5485955,116598625,0,128693965,0,4992227,887512612,1709169,3671799285,
31,44,940817753,244169457,3843335605,33195863,2817,601955812,209170662,180772989,57848632,724291517,12619363,114071303,7177805,152557239,0,168382740,0,6531812,1161218437,2236271,4804169507,
32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,30,1139439014,295717427,4654723530,40204026,3412,729038046,253329842,218936978,70061378,877200722,15283506,138153529,8693152,184764445,0,203930955,0,7910779,1406369711,2708382,5818404413,
32,31,719061629,186617319,2937439428,25371408,2153,460071385,159867941,138163762,44213379,553571865,9644907,87184044,5485955,116598625,0,128693965,0,4992227,887512612,1709169,3671799285,
33,43,611475113,158695502,2497937635,21575320,1831,391235175,135948385,117491600,37598141,470746046,8201829,74139505,4665143,99153055,0,109438682,0,4245286,754722339,1453442,3122422044,
33,44,982385271,254957431,4013143116,34662534,2941,628551620,218412308,188759960,60404519,756292402,13176915,119111238,7494937,159297573,0,175822281,0,6820403,1212523770,2335074,5016428895,
33,47,370910158,96261929,1515205480,13087213,1110,237316445,82463923,71268359,22806378,285546355,4975086,44971733,2829794,60144517,0,66383599,0,2575116,457801431,881632,1894006851,
