"pos_0","pos_1","node","station","inflow_1","inflow_2","inflow_3","inflow_4","inflow_5","inflow_6","inflow_7","inflow_8","inflow_9","inflow_10","inflow_11","inflow_12","inflow_13","inflow_14","inflow_15","inflow_16","inflow_17","inflow_18","inflow_19","inflow_20",
530441,6369814,1,"PLM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
593151,6327888,2,"MSB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
498371,6595915,3,"GYT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
754197,7517145,4,"SVV",0,12157745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
341805,6543603,5,"TJS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
341299,6546555,6,"BEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
469440,6575440,7,"BOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
424326,6271830,8,"TRD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600693,6807098,9,"TÖD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
603342,6818879,10,"LDT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
508375,6499170,11,"KLY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
505021,6494661,12,"LGÅ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
717903,7537890,13,"KRAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
712244,7543901,14,"KV",0,45058621,0,0,0,0,-1274673,666567,-36851,0,104,0,7978,0,0,1651389,0,27075,-136286,-1062,
704657,7550344,15,"RUT",0,0,0,114826,0,-720217,0,-25943,-214593,0,0,0,5441,729141,0,0,0,0,-345268,0,
701000,7558605,16,"RSN",2960979,29877422,-17103046,0,61,868875,-881794,0,273041,0,0,10315,0,0,0,145578,0,-24562,0,0,
698501,7566979,17,"BFS",-21749741,-14509755,0,0,1,0,0,-24612,-127801,0,0,110141,-750,-24205,0,-2368195,0,0,0,16470,
694806,7574553,18,"TNK",1897185,-18916549,0,5358,0,4870,0,1060047,-150906,0,0,24393,0,0,0,238889,0,-19282,-4331165,531,
686052,7577504,19,"SBK",0,19874064,11053673,-26308,0,272337,0,0,0,0,68,0,-37609,-1475572,0,0,0,48,14844226,-102,
677558,7580915,20,"KPE",0,0,-711189245,159752,-6,0,1010929,0,-69080,0,-145,0,6376,-380716,0,1173808,0,-5710,0,-310,
667539,7586705,21,"SOA",0,15848674,-1248128188,0,-4,0,0,-30898,0,0,-138,-222672,0,-797,0,0,0,0,10614560,309,
657629,7586635,22,"AK",1759283,-18415077,0,2660,0,-3419014,-175703,-2011004,0,0,68,26633,-22445,-19132,0,-1111321,0,-4451,0,-441,
655634,7587481,23,"AKT",0,-21841253,-15661006,0,-4,0,0,-80291,-97976,-3243481,0,-113843,67,0,0,-1973561,0,0,241593,221,
651311,7592925,24,"BLN",2421031,0,0,-339464,0,-5891,2121808,-710780,-193,6657115,0,28877,-773,807261,0,0,0,0,0,0,
643704,7594479,25,"KÅ",0,-14803788,1968103044,0,-1,-8166382,-54524,0,22997,3072380,120,0,15795,-15866,0,0,0,-76188,0,0,
636389,7593784,26,"LÅK",2850391,0,0,0,0,0,36676,870434,0,2433734,0,0,0,0,0,0,0,36801,-297206,0,
633605,7594293,27,"VJ",0,-17613295,0,222580,0,2903872,-3094146,1082581,-48705,0,0,2489607,47,-51153,0,0,0,-35520,8644664,0,
629691,7593037,28,"KJÅ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
627923,7593733,29,"RGN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
716576,7537734,30,"PEA",1735895,-18376916,0,371646,0,1666796,-623147,-43244,-85618,0,16761,492050,0,-55543,0,-5441457,0,0,9197737,-343,
719175,7535887,31,"KRA",11808976,1255698,-129180114,0,-4,0,0,0,0,0,0,-3884355,0,-362840,0,-1929129,0,41423,5496028,0,
718373,7537363,32,"KMB",0,13817852,0,0,-4,0,0,0,0,-1667198,15611,-391344,0,-81833,0,-643193,0,0,0,0,
720832,7528917,33,"RSI",14011248,8267761,0,-90907,0,-3802213,0,-1115383,0,-5216460,0,142295,0,392480,0,-3948523,0,0,0,0,
735348,7461139,34,"STK",8056820,0,0,-523194,-3,0,0,-924862,-334587,6885591,0,0,-91530,5691983,0,1583483,0,0,36692,10343,
725813,7469537,35,"LIN",0,3315285,0,0,30,0,12471089,0,-364517,-4234270,70722,0,0,973855,0,636137,0,-21836,0,745,
722119,7476760,36,"HÅK",0,0,11593455,0,-2,8038253,0,0,104771,5774870,0,-400713,-27225,0,0,0,0,0,-252993,-1171,
718567,7485657,37,"HAR",6534783,-11780534,0,4667,-1,17738457,1779503,0,208678,-24039892,0,-584997,6897,0,0,0,0,-7303,-87204,-9465,
717148,7498205,38,"FJÅ",3966982,2991117,-152194294,0,-1,-3755,0,-1096554,-78471,-1396285,11184,645770,0,58512,0,0,0,-9377,0,13035,
717342,7500820,39,"KTM",0,387088,0,1284139,-4,0,0,-42931,437414,5510859,0,0,0,0,0,1265064,0,0,17046280,28182,
720817,7506749,40,"LAB",0,521013,69933211,0,21,0,0,0,-382860,-3335039,-31278,-155002,0,0,0,0,0,0,0,-5406,
722137,7510547,41,"SJKA",0,0,0,-513006,-5,2696749,-1245760,0,393065,-5600831,0,0,-32372,-983881,0,0,0,93354,-3707893,54453,
719877,7516356,42,"GY",-7048554,0,0,0,-3,5205631,0,1168184,259075,-3360807,-53816,0,0,-2403437,0,-1369323,0,0,19067918,-12544,
719953,7523307,43,"KX",0,2592368,0,635894,-7,0,-2134203,-884527,-206703,0,-219955,3527751,0,0,0,0,0,0,50395,32604,
718979,7530000,44,"KIA",0,5675930,0,0,-7,-2712113,827176,0,-1771224,12737267,109339,-3390364,4375,0,0,-1581078,0,39093,-11988776,-31892,
744773,7457377,45,"GV",3615562,0,90224158,0,-4,-1492770,-1000321,2919821,-228411,-7122223,404900,0,9754,0,0,0,0,27249,-5461626,13270,
747747,7463661,46,"KOS",0,-2948392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
729627,7526670,47,"APT",0,-25383471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
751589,7517503,48,"PII",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
750449,7451255,49,"AIK",-3306536,0,0,0,11,0,4290927,0,0,0,129821,0,0,822848,0,0,0,0,0,14821,
804218,7325347,50,"HFS",-10996491,24030155,360863525,-116667,-10,0,-607716,0,0,5069883,52929,5518844,5906,57056,0,2133489,0,0,12449006,-91212,
799382,7333226,51,"LSÅ",23464620,18185071,0,-300322,52,0,0,0,-329108,-4991768,0,0,-31078,0,0,0,0,223248,-3133121,13086,
789703,7341863,52,"GRS",7027499,-3596056,0,-733897,0,0,-255088,0,-434918,0,-119468,0,-23514,2746557,0,0,0,0,-30397712,0,
784942,7348411,53,"STÄ",0,-4998317,34940607,0,0,-1754090,0,-7778972,-76084,0,0,-3137717,-42043,3196906,0,-85985,0,-47740,0,10450,
