arc_i,arc_j,capacity_00,capacity_01,capacity_02,capacity_03,capacity_04,capacity_05,capacity_06,capacity_07,capacity_08,capacity_09,capacity_10,capacity_11,capacity_12,capacity_13,capacity_14,capacity_15,capacity_16,capacity_17,capacity_18,capacity_19,capacity_20
1,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,48,200866017,44156092,663990342,5863073,484,129340774,46564633,36689444,10525170,117746698,2302539,21120288,1751203,24949802,0,28444273,0,1112510,215408377,590090,829987928
4,superSource01,0,4791103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4791103
5,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,superSource03,0,0,0,250716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250716
14,superSink11,0,0,0,0,0,0,0,0,0,0,0,180947,0,0,0,0,0,0,0,0,180947
14,superSink12,0,0,0,0,0,0,0,0,0,0,0,0,65819,0,0,0,0,0,0,0,65819
14,superSink13,0,0,0,0,0,0,0,0,0,0,0,0,0,390413,0,0,0,0,0,0,390413
14,superSource18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14007724,0,14007724
14,15,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
14,30,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
14,superSource15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454960,0,0,0,0,454960
15,superSource07,0,0,0,0,0,0,0,58539,0,0,0,0,0,0,0,0,0,0,0,0,58539
15,superSink03,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
15,superSink11,0,0,0,0,0,0,0,0,0,0,0,1249983,0,0,0,0,0,0,0,0,1249983
15,superSource00,343029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343029
15,superSink13,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,1124
15,superSink18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17449277,0,17449277
15,14,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
15,16,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
15,superSource15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130937,0,0,0,0,130937
16,superSink07,0,0,0,0,0,0,0,114863,0,0,0,0,0,0,0,0,0,0,0,0,114863
16,superSink06,0,0,0,0,0,0,3876221,0,0,0,0,0,0,0,0,0,0,0,0,0,3876221
16,superSink05,0,0,0,0,0,2206805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206805
16,superSink03,0,0,0,192193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192193
16,superSink11,0,0,0,0,0,0,0,0,0,0,0,1388957,0,0,0,0,0,0,0,0,1388957
16,superSink12,0,0,0,0,0,0,0,0,0,0,0,0,40148,0,0,0,0,0,0,0,40148
16,superSink13,0,0,0,0,0,0,0,0,0,0,0,0,0,1546263,0,0,0,0,0,0,1546263
16,superSink18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20994236,0,20994236
16,15,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
16,17,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
16,superSink10,0,0,0,0,0,0,0,0,0,0,48772,0,0,0,0,0,0,0,0,0,48772
16,superSource08,0,0,0,0,0,0,0,0,128822,0,0,0,0,0,0,0,0,0,0,0,128822
17,superSink07,0,0,0,0,0,0,0,37369,0,0,0,0,0,0,0,0,0,0,0,0,37369
17,superSink06,0,0,0,0,0,0,783850,0,0,0,0,0,0,0,0,0,0,0,0,0,783850
17,superSource12,0,0,0,0,0,0,0,0,0,0,0,0,40691,0,0,0,0,0,0,0,40691
17,superSink04,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,superSource03,0,0,0,213110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213110
17,superSource02,0,0,1713624841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713624841
17,superSink00,396789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396789
17,superSource18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12572227,0,12572227
17,superSource08,0,0,0,0,0,0,0,0,110169,0,0,0,0,0,0,0,0,0,0,0,110169
17,16,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
17,18,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
17,superSource13,0,0,0,0,0,0,0,0,0,0,0,0,0,618658,0,0,0,0,0,0,618658
18,superSink07,0,0,0,0,0,0,0,21693,0,0,0,0,0,0,0,0,0,0,0,0,21693
18,superSink06,0,0,0,0,0,0,819922,0,0,0,0,0,0,0,0,0,0,0,0,0,819922
18,superSource12,0,0,0,0,0,0,0,0,0,0,0,0,61511,0,0,0,0,0,0,0,61511
18,superSource13,0,0,0,0,0,0,0,0,0,0,0,0,0,486341,0,0,0,0,0,0,486341
18,superSink10,0,0,0,0,0,0,0,0,0,0,49169,0,0,0,0,0,0,0,0,0,49169
18,superSink02,0,0,1713624841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713624841
18,superSource00,6425825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6425825
18,superSink15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31154,0,0,0,0,31154
18,superSource17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10597,0,0,10597
18,superSink18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12297490,0,12297490
18,superSource08,0,0,0,0,0,0,0,0,131480,0,0,0,0,0,0,0,0,0,0,0,131480
18,17,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
18,19,1914746144,420915935,6329457639,55889479,4623,1232935028,443875246,349740455,100330710,1122415031,21948855,201328189,16693271,237832857,0,271143736,0,10604958,2053370528,5625013,7911822049
19,superSink04,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
19,superSource03,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
19,superSink11,0,0,0,0,0,0,0,0,0,0,0,380053,0,0,0,0,0,0,0,0,380053
19,superSink12,0,0,0,0,0,0,0,0,0,0,0,0,16511,0,0,0,0,0,0,0,16511
19,superSink19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,976
