demand_00,demand_01,demand_02,demand_03,demand_04,demand_05,demand_06,demand_07,demand_08,demand_09,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,inflow_00,inflow_01,inflow_02,inflow_03,inflow_04,inflow_05,inflow_06,inflow_07,inflow_08,inflow_09,inflow_10,inflow_11,inflow_12,inflow_13,inflow_14,inflow_15,inflow_16,inflow_17,inflow_18,inflow_19,node,pos_00,pos_01,supply_00,supply_01,supply_02,supply_03,supply_04,supply_05,supply_06,supply_07,supply_08,supply_09,supply_10,supply_11,supply_12,supply_13,supply_14,supply_15,supply_16,supply_17,supply_18,supply_19
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,530441,6369814,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,593151,6327888,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,498371,6595915,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,4791103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,754197,7517145,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,341805,6543603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,341299,6546555,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,469440,6575440,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,424326,6271830,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,600693,6807098,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,603342,6818879,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,508375,6499170,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,505021,6494661,,,,,,,,,,,,,,,,,,,,
